,questions ru,question kz,Program
1,"Рядом со мной не было человека, который бы обо мне заботился, проявлял участие и искренний интерес ко всему, что происходило со мной","Менің қасымда маған қамқор болатын, менің жағдайыма шын жүректен алаңдайтын және өмірімдегі барлық оқиғаларға ықылас танытатын жақын адам болған жоқ.",1
2,"Я «цепляюсь» за близких мне людей, так как боюсь, что они меня покинут","Маған жақын адамдардан айырылып қалам ба деп қорқып, оларды жібергім келмейді.",2
3,"Мне кажется, что другие люди меня используют",Басқа адамдар мені пайдаланып жүр-ау деп ойлаймын.,3
4,Я не вписываюсь ни в одну из компаний,Мен ешқандай ортаға сыйып кете алмаймын.,4
5,"Ни один человек, к которому я испытываю влечение, не мог бы полюбить меня, если бы узнал о моих недостатках","Егер менің кемшіліктерімді білсе, маған ұнайтын адамдардың бірде-бірі мені жақсы көре алмас еді.",5
6,"Почти всё, что я делаю на работе (в учебе) не так хорошо, как это могли бы сделать другие люди",Басқалар менің жұмысымды (оқуымды) менен гөрі жақсырақ істей алатын сияқты.,6
7,"Думаю, что я не способен самостоятельно справляться с повседневными делами",Күнделікті жұмыстарды өзім істей алмайтын сияқтымын,7
8,"Я не могу избавиться от ощущения, что должно случиться что-то плохое",Бір жаман нәрсе болады-ау деген ойдан құтыла алмай жүрмін,8
9,"Я не смог «отделиться» от своих родителей в той мере, в какой это сделали мои сверстники",Құрдастарым сияқты ата-анамнан бөлек өмір сүре алмай жүрмін.,9
10,"Я думаю, что если я буду делать только то, что мне хочется, это непременно приведет к неприятностям","Өз дегеніммен жүрсем, басым бәлеге қалады-ау деп қорқамын",10
11,"В конце концов, именно мне приходится заботиться о моих близких",Жақындарыма қарайласып жүрген жалғыз мен болып қалдым.,11
12,"Я слишком застенчив, чтобы проявлять свою симпатию (внимание или привязанность) к другим людям",Ұялшақтығымнан басқа адамдарға деген ықыласымды (көңілімді немесе жақсы көретінімді) білдіре алмаймын.,12
13,"Я должен быть лучшим во всем, что я делаю, и не могу быть хуже других","Мен істеген әр нәрсемде бәрінен озық болуым керек, басқалардан төмен бола алмаймын.",13
14,"Мне очень трудно принять «нет» в качестве ответа, если я чего-нибудь хочу от других людей","Басқалардан бір нәрсе сұрағанда, ""жоқ"" деген жауапты қабылдау маған өте қиын.",14
15,Я не могу заставить себя выполнять рутинные или скучные задания,"Қызығы жоқ, бір сарынды жұмыстарды істей алмаймын.",15
16,Знакомство с важными людьми и наличие денег дают мне ощущение собственной значимости,Танымал адамдармен таныстығым мен ақшамның болуы маған мықтымын деген сезім береді.,16
17,"Даже когда дела идут хорошо, у меня такое ощущение, что это ненадолго","Бәрі жақсы болып тұрса да, бұл уақытша ғана сияқты көрінеді.",17
18,"Если я допущу ошибку, то должен быть наказан","Қателессем, сөзсіз жазамды алуым керек.",18
19,"Я не знаю таких людей, которые давали бы мне тепло, любовь и заботу","Маған жылулық, махаббат және қамқорлық көрсететін адамдар жоқ.",1
20,"Я так сильно нуждаюсь в других людях, что боюсь их потерять","Басқаларға қатты тәуелді болғандықтан, олардан айырылып қалудан қорқамын.",2
21,"Я чувствую, что не могу ослабить свою защиту и вести себя естественно в присутствии других людей, так как они могут причинить мне боль","Басқалардың қасында өзімді бос ұстай алмаймын, олар маған ыңғайсыздық тудырадыю",3
22,Я очень сильно отличаюсь от других людей,Мен басқа адамдардан мүлдем өзгешемін.,4
23,"Никто, о ком я мечтаю, не захотел бы остаться рядом со мной, если бы узнал, какой я на самом деле","Шын түрімді көрсе, ұнататын адамдарымның бәрі менен қашар еді.",5
24,Я неспособен добиться успеха,Менің қолымнан ештеңе келмейді.,6
25,В повседневной жизни я во многом завишу от других людей,Күнделікті өмірде басқаларға көп тәуелдімін.,7
26,"Я полагаю, что в любой момент может произойти нечто ужасное (природная катастрофа, преступление, финансовый кризис или несчастный случай)","Кез келген сәтте бір жаман нәрсе болуы мүмкін (апат, қылмыс, ақша дағдарысы немесе бақытсыз оқиға) деп ойлаймын.",8
27,Я и мои родители склонны (были склонны) принимать излишнее участие в жизни и решении проблем друг друга,Мен және ата-анам бір-біріміздің өміріміз бен мәселелерімізге тым көп араласамыз (араласатынбыз).,9
28,"Я чувствую, что я должен уступать желаниям других людей, иначе они могут отвергнуть меня или как-то отомстить","Басқалардың айтқанын істемесем, олар менен теріс айналып кетеді немесе өш алады деп ойлаймын.",10
29,"Я - хороший человек, так как думаю о других больше, чем о себе","Басқаларды өзімнен артық ойлайтындықтан, мен - жақсы адаммын.",11
30,Мне неловко показывать другим свои чувства,Басқаларға сезімімді көрсетуге ұяламын.,12
31,"Я стараюсь делать все как можно лучше и не приемлю, когда говорят «…и так уже достаточно хорошо…»","Бәрін өте жақсылап істеуге тырысамын және ""осы да жетеді"" дегенді қабылдай алмаймын.",13
32,"Я особенный человек и не обязан подчиняться многим ограничениям, установленным для других людей","Мен ерекше адаммын, сондықтан басқаларға қойылған талаптарға бағынуым міндетті емес.",14
33,"Если мне не удается достичь цели, я легко отчаиваюсь и сдаюсь","Мақсатыма жете алмасам, тез түңіліп, бәрін тастап кетемін.",15
34,"Достижения имеют для меня наибольшую ценность, если их замечают другие люди",Жетістіктерім басқалар мақтағанда ғана құнды болып көрінеді.,16
35,"Когда случается что-то хорошее, я жду, что должно случиться что-то плохое","Жақсы нәрсе болса, артынан жаман нәрсе болады деп күтемін.",17
36,"Если я не буду стараться изо всех сил, то у меня обязательно будут неприятности","Бар күшіммен тырыспасам, басыма бәле келеді.",18
37,"Я никогда не чувствовал, что я был кем-то особенным для другого человека",Мен ешқашан біреу үшін ерекше адам болған емеспін.,1
38,"Я опасаюсь, что мои близкие покинут или «бросят» меня","Жақындарым менен кетіп қалар ма, тастап кетер ме деп қорқамын.",2
39,"Думаю, что рано или поздно, кто-нибудь меня обязательно предаст",Әйтеуір біреу мені сатып кетеді деп ойлаймын.,3
40,"Я – одиночка, и не принадлежу ни к какому «кругу»","Мен жалғызсырап жүрмін, ешқандай топқа кіре алмаймын.",4
